gearbox	title	refcode	description	model	year	run	phone	wheel_drive	price
N/A	LINCOLN MARK VII CARTIER EDITION	TA1189967	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...	CARTIER EDITION	1998 	0		LHD	Auction
N/A	AUSTIN-HEALEY 3000 MK2 BJ7	TA1189966	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	MK2 BJ7	1963 	0		LHD	Auction
N/A	CADILLAC SERIES 62	TA1189965	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...		1962 	0		LHD	Auction
N/A	CHEVROLET CORVETTE	TA1189964	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...		1954 	0		LHD	Auction
N/A	CHEVROLET CORVETTE	TA1189963	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...		1960 	0		LHD	Auction
N/A	SHELBY SERIES 1	TA1189884	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1999 	0		LHD	Auction
N/A	CHEVROLET CORVETTE	TA1189883	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1963 	0		LHD	Auction
N/A	BUICK ROADMASTER	TA1189880	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1954 	0		RHD	Auction
N/A	NASH-HEALEY ROADSTER	TA1189877	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1953 	0		RHD	Auction
N/A	DESOTO ADVENTURER HARDTOP	TA1189919	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...	HARDTOP	1957 	0		LHD	Auction
N/A	ASTON MARTIN VANQUISH	TA1189865	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...		2006 	0		LHD	Auction
N/A	FORD GALAXIE SKYLINER	TA1189864	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	SKYLINER	1959 	0		LHD	Auction
N/A	PORSCHE 928 S FIVER SPEED	TA1189862	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...	S FIVER SPEED	1985 	0		LHD	Auction
N/A	PACKARD EIGHT DUEL COWL SPORT PHAETON	TA1189852	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	DUEL COWL SPORT PHAETON	1934 	0		LHD	Auction
Manual	ALFA ROMEO 156	DIY1153802	Excellent interior, bodywork may do with tidying as lacquer is peeling in some areas, no rust at ...			22,000		RHD	2,500
Manual	MATHIS PM Trefle	DIY1190761	As far as the owners knows there is only one other (unrestored) Type PM in the UK at present, mak...	Trefle	1924 	0		RHD	8,500
N/A	FORD MUSTANG	TA1189845	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Fitted ...		1966 	0		LHD	Auction
N/A	CHEVROLET CORVETTE	TA1189844	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Offered...		1968 	0		LHD	Auction
N/A	CHEVROLET CORVETTE STINGRAY	TA1189843	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Attract...	STINGRAY	1963 	0		LHD	Auction
N/A	FOURNIER MARCADIER BARQUETTE	TA1190162	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1964 	0		LHD	Auction
N/A	LIGIER JS2	TA1189842	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1972 	0		LHD	Auction
N/A	FIAT 1500	TA1189841	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1965 	0		LHD	Auction
N/A	PORSCHE 912	TA1189840	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Sold ne...		1966 	0		LHD	Auction
N/A	PORSCHE 914 1.7	TA1189839	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Deliver...	1.7	1971 	0		LHD	Auction
N/A	MERCEDES-BENZ 350 SL	TA1189838	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Deliver...	SL	1972 	0		LHD	Auction
N/A	MERCEDES-BENZ 230 SL	TA1189837	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Fitted ...	SL	1964 	0		LHD	Auction
N/A	ROVER MINI MAYFAIR	TA1189836	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	MAYFAIR	1984 	0		LHD	Auction
N/A	SUNBEAM ALPINE	TA1189835	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1963 	0		LHD	Auction
N/A	GINETTA G20	TA1189834	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...			0		RHD	Auction
N/A	MARCOS GT 3 litre	TA1189833	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	3 litre	1970 	0		RHD	Auction
N/A	TVR S2	TA1189831	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1989 	0		RHD	Auction
N/A	VOLKSWAGEN KARMANN GHIA CABRIOLET	TA1189830	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	GHIA CABRIOLET	1971 	0		LHD	Auction
N/A	TVR TASMIN	TA1189828	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1982 	0		RHD	Auction
N/A	MG M TYPE GB GT MK2	TA1189827	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Built t...	GB GT MK2	1972 	0		RHD	Auction
Manual	ALVIS 12/50 1931 Alvis 12/50 TJ Atlantic Saloon	TA1188622	"1931 Alvis 12/50 TJ Atlantic Saloon Coachwork by Carbodies
A delightful example of the much-loved..."	1931 Alvis 12/50 TJ Atlantic Saloon	1931 	0		RHD	33,500
Automatic	JAGUAR XJS SC Targa top	DIY1190709	FSH, V12, great condition, XJ number plate included, extensive history folder, alloys A1, black l...	SC Targa top	1985 	77,000		RHD	16,995
N/A	BMW Z1	TA1189824	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Acquire...		1990 	0		LHD	Auction
N/A	MG TD C	TA1189823	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Please ...	C	1952 	0		RHD	Auction
N/A	GLAS 1300 GT	TA1189822	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Purchas...		1964 	0		RHD	Auction
N/A	ALPINE-RENAULT A110 1600 S	TA1189821	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Just th...	1600 S	1971 	0		LHD	Auction
N/A	PORSCHE 911 CARRERA 3.2	TA1189820	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Deliver...	CARRERA 3.2	1984 	0		LHD	Auction
N/A	PORSCHE 911	TA1189819	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. German-...		1976 	0		LHD	Auction
N/A	TRIUMPH TR6	TA1189818	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1969 	0		LHD	Auction
N/A	PORSCHE 911	TA1189817	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Finishe...		1981 	0		LHD	Auction
N/A	TRIUMPH TR4	TA1189816	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1965 	0		LHD	Auction
N/A	AUSTIN-HEALEY SPRITE ARKLEY	TA1189815	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Modifie...	ARKLEY	1966 	0		LHD	Auction
N/A	JENSEN JENSEN-HEALEY	TA1189814	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1973 	0		LHD	Auction
N/A	PANTHER J72	TA1189813	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1974 	0		LHD	Auction
N/A	PANTHER LIMA	TA1189811	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1979 	0		RHD	Auction
N/A	MORGAN 4/4 1600	TA1189810	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	1600	1980 	0		LHD	Auction
N/A	GINETTA G33	TA1189809	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1991 	0		RHD	Auction
N/A	AUSTIN-HEALEY 100 6 BN6	TA1189808	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Offered...	6 BN6	1959 	0		LHD	Auction
N/A	ASTON MARTIN DB2 DB4 DROPHEAD	TA1189807	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	DB4 DROPHEAD	1955 	0		LHD	Auction
N/A	LOTUS ELAN 2S 130	TA1189806	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	2S 130	1972 	0		RHD	Auction
Automatic	JAGUAR S-TYPE	DIY1190625	MoT Mar 21, exceptional condition, drives like new, loads of history & bills, leather interior, f...			68,600		RHD	1,995
Automatic	JAGUAR XK8	DIY1190620	Lady driver 10 years, service records, all usual replacements have been made, the hood is good, a...		2000 	107,000		RHD	8,000
N/A	TVR GRANTURA SERIES 2	TA1189917	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SERIES 2	1961 	0		RHD	Auction
N/A	INTERMECCANICA ITALIA SPYDER	TA1189916	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SPYDER	1970 	0		LHD	Auction
N/A	ALFA ROMEO GIULIA GT 1300 JUNIOR ZAGATO	TA1189914	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	GT 1300 JUNIOR ZAGATO	1972 	0		LHD	Auction
N/A	ALFA ROMEO 2000	TA1189803	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1973 	0		LHD	Auction
N/A	ASTON MARTIN V8 VOLANTE	TA1189801	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	VOLANTE	1981 	0		RHD	Auction
N/A	ASTON MARTIN V8	TA1189913	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Incredi...		1972 	0		RHD	Auction
N/A	AUSTIN-HEALEY SPRITE MK1	TA1189800	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Origina...	MK1	1960 	0		LHD	Auction
N/A	ASTON MARTIN DB6	TA1189798	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1966 	0		RHD	Auction
N/A	LANCIA FULVIA	TA1189799	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1970 	0		RHD	Auction
N/A	ALFA ROMEO GIULIETTA SPRINT SPECIALE	TA1189797	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SPRINT SPECIALE	1962 	0		RHD	Auction
N/A	LANCIA FULVIA	TA1189795	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1966 	0		RHD	Auction
N/A	JAGUAR XK 120	TA1189796	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	120	1952 	0		LHD	Auction
N/A	JAGUAR XK 120	TA1189793	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Please ...	120	1950 	0		LHD	Auction
N/A	ALFA ROMEO GIULIETTA SPIDER	TA1189791	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Please ...	SPIDER	1956 	0		LHD	Auction
N/A	FIAT DINO	TA1189790	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1967 	0		RHD	Auction
N/A	DE TOMASO PANTERA	TA1189788	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1973 	0		RHD	Auction
N/A	FIAT DINO SPIDER	TA1189786	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SPIDER	1968 	0		RHD	Auction
N/A	FIAT 850 SPIDER	TA1189785	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SPIDER	1967 	0		RHD	Auction
Manual	ROVER 12 Sport tourer	DIY1190456	Bodywork is in cream, wine red hood, interior & carpets, took great pride when showing it, a love...	Sport tourer	1947 	18,000		RHD	23,332
Manual	CHEVROLET CORVETTE Sting ray	DIY1121896	A beautiful car, only 6508 convertibles made. Complete with hard top as well as the soft top. New...	Sting ray	1972 	9,549		LHD	28,500
N/A	FIAT 1500	TA1189783	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1962 	0		RHD	Auction
N/A	MASERATI MERAK SS	TA1189912	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. US-spec...	SS	1978 	0		LHD	Auction
N/A	MASERATI GHIBLI 4.7 SPYDER CONVERSION	TA1189911	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Convert...	4.7 SPYDER CONVERSION	1970 	0		LHD	Auction
N/A	MASERATI INDY 4.2	TA1189910	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Offered...	4.2	1970 	0		LHD	Auction
N/A	MASERATI MISTRAL 3.7	TA1189909	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Offered...	3.7	1966 	0		LHD	Auction
N/A	VENTURI 200 260	TA1189907	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Offered...	260	1991 	0		LHD	Auction
N/A	ASTON MARTIN VANQUISH S	TA1190129	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. 52...	S	2006 	0		LHD	Auction
N/A	PORSCHE 912	TA1189775	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Just four owners from n...		1965 	0		LHD	Auction
N/A	LAMBORGHINI URRACO P250	TA1189774	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	P250	1974 	0		LHD	Auction
N/A	APOLLO 5000 GT	TA1189772	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Offered from a Bavarian...	GT	1965 	0		RHD	Auction
N/A	MERCEDES-BENZ 220 S CABRIOLET	TA1189757	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Check back soon for com...	S CABRIOLET	1957 	0		LHD	Auction
N/A	LANCIA HYENA	TA1189755	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. The last of 24 Hyenas b...		1993 	0		LHD	Auction
N/A	ALFA ROMEO 6C 1750 GRAN TURISMO SERIE 1V SPIDER	TA1189754	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Delivered new to London...	1750 GRAN TURISMO SERIE 1V SPIDER	1930 	0		LHD	Auction
N/A	HART SPORTS	TA1189753	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Built b...		1988 	0		LHD	Auction
N/A	HART SPORTS	TA1189752	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Single ...		1997 	0		LHD	Auction
N/A	VOLKSWAGEN GOLF MK1 GROUP 2	TA1189751	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. The worlds first racing...	MK1 GROUP 2	1975 	0		LHD	Auction
N/A	FACEL VEGA HK500	TA1189750	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Check back soon for com...		1961 	0		LHD	Auction
N/A	PORSCHE 928 GTS	TA1189749	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	GTS	1993 	0		LHD	Auction
Automatic	JAGUAR XJS V12	DIY1183551	Stunning, 6 registered owners from new, comes with old style V5, FSH, handbook, MoT's, invoices, ...	V12	1991 	56,445		RHD	18,995
Manual	JAGUAR E-TYPE Series 1 (2+2)	DIY1170028	Matching numbers, factory manual gearbox, heritage certificate, fully restored, many new parts, o...	Series 1 (2+2)	1966 	58,377		LHD	59,995
N/A	BMW 3 SERIES 329	TA1189746	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	329	1936 	0		LHD	Auction
N/A	MERCEDES-BENZ 450 SLC	TA1189745	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Rare co...	SLC	1976 	0		RHD	Auction
N/A	JAGUAR E-TYPE SERIES 1 3.8-LITRE	TA1189737	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Retains its original en...	SERIES 1 3.8-LITRE	1964 	0		RHD	Auction
N/A	MASERATI 430 4V	TA1189736	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Deliver...	4V	1992 	0		RHD	Auction
N/A	JAGUAR E-TYPE SERIES 3 V-12 ROADSTER	TA1189735	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SERIES 3 V-12 ROADSTER	1972 	0		RHD	Auction
N/A	LAMBORGHINI ESPADA SERIES II	TA1189734	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SERIES II	1971 	0		RHD	Auction
N/A	PORSCHE 356	TA1189733	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. A rare and desirable be...		1953 	0		RHD	Auction
N/A	MERCURY MONARCH HARDTOP	TA1189333	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	HARDTOP	1956 	0		LHD	Auction
N/A	FIAT 1500 CABRIOLET	TA1189332	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	CABRIOLET	1965 	0		RHD	Auction
N/A	BMW E3 3.3 LI	TA1189331	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	3.3 LI	1976 	0		LHD	Auction
N/A	MERCEDES-BENZ 280	TA1189330	To Be OFFERED AT AUCTION at RM Sothebys' Essen event, 26 - 27 March 2020. Check back soon for com...		1970 	0		LHD	Auction
N/A	CHEVROLET CORVETTE	TA1189329	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1961 	0		RHD	Auction
N/A	CITROEN SM	TA1189328	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1971 	0		LHD	Auction
N/A	BITTER CD	TA1189326	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1974 	0		LHD	Auction
N/A	PORSCHE 911	TA1189324	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...		1988 	0		LHD	Auction
N/A	PORSCHE 904 GTS	TA1189323	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	GTS	1964 	0		LHD	Auction
N/A	PORSCHE 356B CABRIOLET	TA1189322	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	CABRIOLET	1960 	0		LHD	Auction
N/A	MERCEDES-BENZ 190 SL	TA1189321	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Check b...	SL	1956 	0		LHD	Auction
Manual	TRIUMPH 1800 ROADSTER	DIY1170966	Spectacularly clean example, much sought after quality tourers, registered in the UK, does not re...		1946 	8,000		RHD	14,500
Manual	MERCEDES-BENZ 280	DIY1166836	Beautiful, rare, only one on the market with a bench seat, owned for over 3 years, spent thousand...		1970 	89,500		RHD	24,000
